Player,Nation,Pos,Squad,Age,birth_year,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Solly March,eng ENG,"FW,MF",Brighton,30-284,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.19,0.05,0.19,Matches
Son Heung-min,kr KOR,FW,Tottenham,32-296,1992,28,23,"2,004",22.3,7,9,16,6,1,2,1,0,7.0,5.4,8.2,13.7,87,104,259,0.31,0.40,0.72,0.27,0.67,0.31,0.37,0.68,0.24,0.61,Matches
Stefan Ortega,de GER,GK,Manchester City,32-175,1992,13,12,"1,100",12.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Stephy Mavididi,eng ENG,FW,Leicester City,26-334,1998,30,16,"1,615",17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,0.28,0.10,0.15,0.25,0.10,0.25,Matches
Sven Botman,nl NED,DF,Newcastle Utd,25-108,2000,4,3,232,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Sávio,br BRA,"FW,MF",Manchester City,21-020,2004,27,21,"1,734",19.3,1,8,9,1,0,0,3,0,4.9,4.9,6.8,11.6,133,66,239,0.05,0.42,0.47,0.05,0.47,0.25,0.35,0.60,0.25,0.60,Matches
Séamus Coleman,ie IRL,DF,Everton,36-201,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-261,1997,24,3,378,4.2,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,19,0.24,0.00,0.24,0.24,0.24,0.50,0.03,0.53,0.50,0.53,Matches
Tariq Lamptey,gh GHA,DF,Brighton,24-212,2000,13,9,765,8.5,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,25,12,40,0.24,0.24,0.47,0.24,0.47,0.05,0.09,0.14,0.05,0.14,Matches
Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-090,2002,31,29,"2,564",28.5,1,0,1,1,0,0,8,0,1.7,1.7,1.0,2.7,28,116,9,0.04,0.00,0.04,0.04,0.04,0.06,0.03,0.10,0.06,0.10,Matches
Thiago,br BRA,FW,Brentford,23-308,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.11,0.07,0.11,Matches
Thomas Partey,gh GHA,"MF,DF",Arsenal,31-321,1993,31,27,"2,437",27.1,4,2,6,4,0,0,4,0,2.0,2.0,1.9,4.0,31,165,45,0.15,0.07,0.22,0.15,0.22,0.07,0.07,0.15,0.07,0.15,Matches
Tim Iroegbunam,eng ENG,MF,Everton,21-304,2003,16,5,566,6.3,0,1,1,0,0,0,4,0,0.2,0.2,0.2,0.4,8,14,9,0.00,0.16,0.16,0.00,0.16,0.04,0.03,0.07,0.04,0.07,Matches
Timo Werner,de GER,"FW,MF",Tottenham,29-055,1996,18,4,516,5.7,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,30,89,0.00,0.52,0.52,0.00,0.52,0.17,0.44,0.61,0.17,0.61,Matches
Timothy Castagne,be BEL,DF,Fulham,29-146,1995,23,17,"1,625",18.1,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,61,67,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.09,0.02,0.09,Matches
Toby Collyer,eng ENG,MF,Manchester Utd,21-117,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22,Matches
Tom Cairney,sct SCO,MF,Fulham,34-100,1991,22,2,494,5.5,1,0,1,1,0,0,3,1,0.2,0.2,1.0,1.2,14,47,29,0.18,0.00,0.18,0.18,0.18,0.04,0.17,0.21,0.04,0.21,Matches
Tommy Doyle,eng ENG,MF,Wolves,23-195,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20,Matches
Tomáš Souček,cz CZE,MF,West Ham,30-062,1995,31,26,"2,251",25.0,8,1,9,8,0,0,8,0,5.9,5.9,1.0,7.0,6,68,62,0.32,0.04,0.36,0.32,0.36,0.24,0.04,0.28,0.24,0.28,Matches
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-218,1997,20,13,"1,229",13.7,1,1,2,1,0,0,3,0,0.9,0.9,0.2,1.1,5,37,1,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,Matches
Toti Gomes,pt POR,DF,Wolves,26-104,1999,27,26,"2,254",25.0,0,1,1,0,0,0,6,0,0.7,0.7,0.9,1.7,21,67,13,0.00,0.04,0.04,0.00,0.04,0.03,0.04,0.07,0.03,0.07,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-205,1998,30,27,"2,240",24.9,3,6,9,3,0,0,5,0,1.8,1.8,6.7,8.5,49,211,87,0.12,0.24,0.36,0.12,0.36,0.07,0.27,0.34,0.07,0.34,Matches
Trevoh Chalobah,eng ENG,DF,Chelsea,25-299,1999,11,9,746,8.3,0,1,1,0,0,0,1,0,0.7,0.7,1.2,1.9,4,34,2,0.00,0.12,0.12,0.00,0.12,0.09,0.14,0.23,0.09,0.23,Matches
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-299,1999,12,12,"1,060",11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches
Tyler Adams,us USA,MF,Bournemouth,26-075,1999,24,17,"1,620",18.0,0,3,3,0,0,0,7,0,1.6,1.6,0.9,2.5,12,61,9,0.00,0.17,0.17,0.00,0.17,0.09,0.05,0.14,0.09,0.14,Matches
Tyler Dibling,eng ENG,"FW,MF",Southampton,19-049,2006,30,18,"1,697",18.9,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,67,60,90,0.11,0.00,0.11,0.11,0.11,0.13,0.08,0.22,0.13,0.22,Matches
Tyrell Malacia,nl NED,DF,Manchester Utd,25-256,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-241,1999,34,34,"2,852",31.7,0,4,4,0,0,0,2,0,1.2,1.2,5.6,6.8,56,62,160,0.00,0.13,0.13,0.00,0.13,0.04,0.18,0.22,0.04,0.22,Matches
Tyrique George,eng ENG,FW,Chelsea,19-085,2006,7,0,103,1.1,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,9,2,18,0.87,0.87,1.75,0.87,1.75,0.17,0.63,0.80,0.17,0.80,Matches
Tyrone Mings,eng ENG,DF,Aston Villa,32-048,1993,13,11,"1,051",11.7,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,6,39,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Valentino Livramento,eng ENG,DF,Newcastle Utd,22-169,2002,33,28,"2,480",27.6,0,1,1,0,0,0,1,0,0.2,0.2,2.3,2.6,72,136,91,0.00,0.04,0.04,0.00,0.04,0.01,0.08,0.09,0.01,0.09,Matches
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-135,2002,28,28,"2,380",26.4,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,39,69,75,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06,Matches
Victor Lindelöf,se SWE,DF,Manchester Utd,30-287,1994,12,4,470,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Virgil van Dijk,nl NED,DF,Liverpool,33-296,1991,34,34,"3,060",34.0,2,1,3,2,0,0,3,0,2.0,2.0,0.7,2.7,18,176,6,0.06,0.03,0.09,0.06,0.09,0.06,0.02,0.08,0.06,0.08,Matches
Vitaliy Mykolenko,ua UKR,DF,Everton,25-336,1999,31,31,"2,722",30.2,0,1,1,0,0,0,2,0,0.4,0.4,1.6,2.1,31,102,83,0.00,0.03,0.03,0.00,0.03,0.01,0.05,0.07,0.01,0.07,Matches
Vitaly Janelt,de GER,MF,Brentford,26-355,1998,32,27,"2,254",25.0,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,80,38,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,Matches
Vladimír Coufal,cz CZE,DF,West Ham,32-251,1992,18,9,865,9.6,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,15,32,25,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09,Matches
Wataru Endo,jp JPN,MF,Liverpool,32-080,1993,17,0,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Welington,br BRA,"DF,MF",Southampton,24-070,2001,7,3,215,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,6,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-158,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.00,0.10,0.10,0.00,0.10,0.05,0.16,0.21,0.05,0.21,Matches
Wesley Fofana,fr FRA,DF,Chelsea,24-134,2000,14,14,"1,172",13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.06,Matches
Wilfred Ndidi,ng NGA,MF,Leicester City,28-135,1996,25,25,"2,057",22.9,0,4,4,0,0,0,8,0,1.8,1.8,1.8,3.7,16,64,74,0.00,0.18,0.18,0.00,0.18,0.08,0.08,0.16,0.08,0.16,Matches
Will Hughes,eng ENG,MF,Crystal Palace,30-013,1995,29,21,"1,869",20.8,0,3,3,0,0,0,11,0,1.0,1.0,2.7,3.7,18,82,24,0.00,0.14,0.14,0.00,0.14,0.05,0.13,0.18,0.05,0.18,Matches
William Osula,dk DEN,FW,Newcastle Utd,21-269,2003,12,0,104,1.2,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,2,12,0.87,0.00,0.87,0.87,0.87,0.10,0.08,0.18,0.10,0.18,Matches
William Saliba,fr FRA,DF,Arsenal,24-037,2001,32,32,"2,814",31.3,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,134,6,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.10,0.07,0.10,Matches
William Smallbone,ie IRL,MF,Southampton,25-068,2000,14,6,612,6.8,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1.1,5,23,21,0.15,0.00,0.15,0.15,0.15,0.06,0.09,0.16,0.06,0.16,Matches
Willian,br BRA,"FW,MF",Fulham,36-264,1988,8,2,226,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,8,36,29,0.00,0.00,0.00,0.00,0.00,0.11,0.18,0.29,0.11,0.29,Matches
Willy Boly,ci CIV,DF,Nott'ham Forest,34-086,1991,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Wilson Odobert,fr FRA,FW,Tottenham,20-153,2004,12,6,539,6.0,0,0,0,0,0,0,0,0,0.7,0.7,0.9,1.6,38,19,54,0.00,0.00,0.00,0.00,0.00,0.12,0.15,0.27,0.12,0.27,Matches
Wout Faes,be BEL,DF,Leicester City,27-027,1998,30,26,"2,455",27.3,1,0,1,1,0,0,4,0,1.4,1.4,0.1,1.5,12,74,1,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.05,0.05,0.05,Matches
Woyo Coulibaly,fr FRA,DF,Leicester City,25-345,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-282,2004,28,16,"1,498",16.6,5,4,9,5,0,0,6,0,3.7,3.7,4.7,8.4,68,37,159,0.30,0.24,0.54,0.30,0.54,0.22,0.29,0.51,0.22,0.51,Matches
Yasin Ayari,se SWE,MF,Brighton,21-206,2003,30,19,"1,737",19.3,1,1,2,1,0,0,3,0,2.2,2.2,2.2,4.4,30,66,59,0.05,0.05,0.10,0.05,0.10,0.12,0.11,0.23,0.12,0.23,Matches
Yehor Yarmoliuk,ua UKR,MF,Brentford,21-060,2004,26,10,"1,039",11.5,0,0,0,0,0,0,4,0,0.6,0.6,0.3,0.9,12,45,42,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08,0.05,0.08,Matches
Yerson Mosquera,co COL,DF,Wolves,23-363,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Yoane Wissa,cd COD,FW,Brentford,28-239,1996,30,29,"2,470",27.4,16,3,19,16,0,0,2,0,14.9,14.9,1.8,16.7,48,56,131,0.58,0.11,0.69,0.58,0.69,0.54,0.07,0.61,0.54,0.61,Matches
Youri Tielemans,be BEL,MF,Aston Villa,27-358,1997,34,34,"2,915",32.4,2,7,9,2,0,1,4,0,3.0,2.3,6.9,9.2,37,226,44,0.06,0.22,0.28,0.06,0.28,0.09,0.21,0.31,0.07,0.28,Matches
Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24-306,2000,29,15,"1,467",16.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,32,68,76,0.06,0.06,0.12,0.06,0.12,0.03,0.14,0.17,0.03,0.17,Matches
Yves Bissouma,ml MLI,MF,Tottenham,28-243,1996,24,15,"1,210",13.4,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,71,3,0.15,0.00,0.15,0.15,0.15,0.04,0.02,0.06,0.04,0.06,Matches
Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31-326,1993,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.13,0.02,0.13,Matches
İlkay Gündoğan,de GER,MF,Manchester City,34-188,1990,30,22,"1,967",21.9,0,5,5,0,0,0,1,0,2.7,2.7,2.7,5.5,55,113,81,0.00,0.23,0.23,0.00,0.23,0.13,0.12,0.25,0.13,0.25,Matches
Łukasz Fabiański,pl POL,GK,West Ham,40-012,1985,13,12,"1,070",11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
